,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
47,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,2019-05-10,219946,85,0.0912,0.798,0.675,0.0,0.0894,-5.041,0.0442,0.842,101.956,4
48,Does It Feel,Nine Track Mind (Deluxe Edition),Charlie Puth,2016-11-11,218666,45,0.177,0.61,0.86,0.0,0.155,-4.6,0.127,0.549,98.995,4
49,If I Can't Have You,If I Can't Have You,Shawn Mendes,2019-05-03,190800,82,0.524,0.692,0.809,0.0,0.147,-4.198,0.0602,0.864,123.911,4
50,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Taylor Swift,2019-08-23,193000,83,0.033,0.61,0.83,0.0,0.118,-4.105,0.0571,0.728,182.162,4
51,Rewrite The Stars,The Greatest Showman (Original Motion Picture Soundtrack),Various Artists,2017-12-08,217440,76,0.0716,0.684,0.619,0.0,0.122,-7.005,0.0386,0.284,125.046,4
52,Lemonade - Ukulele Version,For More Than a Feeling,Jeremy Passion,2011-12-13,181504,66,0.868,0.546,0.221,0.0,0.0994,-8.915,0.063,0.593,128.144,4
53,I Like Me Better,I met you when I was 18. (the playlist),Lauv,2018-05-31,197436,85,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,0.419,91.97,4
54,Young Dumb & Broke,American Teen,Khalid,2017-04-27,202546,82,0.199,0.798,0.539,1.66e-05,0.165,-6.351,0.0421,0.394,136.949,4
55,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,2018-07-12,173799,81,0.555,0.56,0.68,0.0,0.116,-7.648,0.321,0.319,89.391,4
56,On My Way,On My Way,Alan Walker,2019-03-21,193797,79,0.0209,0.509,0.689,0.0,0.301,-4.929,0.102,0.297,170.087,4
57,Sucker,Happiness Begins,Jonas Brothers,2019-06-07,181026,85,0.0427,0.842,0.734,0.0,0.106,-5.065,0.0588,0.952,137.958,4
58,Rise,Rise,Jonas Blue,2018-05-25,194407,75,0.323,0.69,0.784,0.0,0.203,-4.653,0.032,0.669,106.066,4
59,Thunder / Young Dumb & Broke (with Khalid) - Medley,Thunder / Young Dumb & Broke (with Khalid) [Medley],Imagine Dragons,2017-12-20,251283,65,0.101,0.439,0.681,0.000232,0.395,-5.516,0.15,0.3,168.082,4
60,Shallow,A Star Is Born Soundtrack,Lady Gaga,2018-10-05,215733,86,0.371,0.572,0.385,0.0,0.231,-6.362,0.0308,0.323,95.799,4
61,comethru,"summer,",Jeremy Zucker,2018-09-28,181613,79,0.607,0.795,0.178,0.0,0.623,-11.991,0.0574,0.608,93.982,4
62,You Say,Look Up Child,Lauren Daigle,2018-09-07,274693,78,0.682,0.486,0.632,0.0,0.0869,-6.89,0.0344,0.0791,147.892,4
63,Rainbow,Golden Hour,Kacey Musgraves,2018-03-30,214293,73,0.88,0.581,0.197,0.0,0.107,-7.697,0.0329,0.349,130.367,4
64,Hard Place,Hard Place,H.E.R.,2018-11-02,271733,67,0.179,0.614,0.719,1.72e-05,0.163,-4.694,0.0955,0.34,160.075,4
65,YOUTH,Blue Neighbourhood (Deluxe),Troye Sivan,2015-12-04,185194,66,0.0625,0.628,0.737,0.0,0.0777,-4.437,0.041,0.592,91.507,4
66,Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Various Artists,2018-12-14,158040,86,0.556,0.76,0.479,0.0,0.0703,-5.574,0.0466,0.913,89.911,4
67,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,171029,85,0.45,0.741,0.52,1.97e-06,0.222,-7.513,0.0656,0.347,102.998,4
68,"Fire On Fire - From ""Watership Down""","Fire On Fire (From ""Watership Down"")",Sam Smith,2018-12-21,246735,79,0.476,0.584,0.407,0.0,0.18,-7.356,0.046,0.341,115.124,4
69,Scared to Be Lonely,Scared to Be Lonely,Martin Garrix,2017-01-27,220883,80,0.0895,0.584,0.54,0.0,0.261,-7.786,0.0576,0.195,137.972,4
70,Everything I Need,Aquaman (Original Motion Picture Soundtrack) [Deluxe Edition],Rupert Gregson-Williams,2019-07-19,200563,63,0.874,0.531,0.224,0.0,0.111,-10.878,0.0293,0.276,74.98,4
